proposed,0,E1,InboundArrivalActual,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;delivered_qty=94
proposed,0,E2,InboundArrivalActual,client_gen,,,client_id=C1;sku_id=S_COLA_15;delivered_qty=83
proposed,0,E3,InboundArrivalActual,client_gen,,,client_id=C1;sku_id=S_SNACK_X;delivered_qty=115
proposed,0,E4,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_SNACK_X;qty=1
proposed,0,E5,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E6,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E7,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E8,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E9,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E10,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E11,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E12,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E13,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E14,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E15,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E16,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_SNACK_X;qty=1
proposed,0,E17,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E18,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E19,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E20,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_COLA_15;qty=1
proposed,0,E21,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E22,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_SNACK_X;qty=1
proposed,0,E23,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_SNACK_X;qty=1
proposed,0,E24,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E25,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_PEPSI_05;qty=1
proposed,0,E26,OutboundRequest,client_gen,,,client_id=C1;sku_id=S_SNACK_X;qty=1
